,stock_n,year,brand,model,price,mileage,interior_color,exterior_color,drive_type,engine_size,num_cylinders,hp,comp_ratio,cam_shaft,engine_type,bore,stroke,values_per_cylinder,wheel_base,length,width,height,curb_weight,leg_room,head_room,seating_cap,cargo_cap,city_mpg,hw_mpg
80,16129478,2014,Kia,Soul,11599.0,36000,Black,Silver,2,1.6,4,130,11:1,Variable Timing DOHC,Gas,2.95,3.36,4.0,101.2,163.0,70.0,63.0,2714,40.9,39.6,5,24.0,24,30
81,16237476,2016,Kia,Soul,12998.0,20000,Black,Black,2,1.6,4,130,11:1,Variable Timing,Gas,2.95,3.36,4.0,101.2,163.0,70.0,63.0,2714,40.9,39.6,5,24.0,24,30
82,16238076,2017,Kia,Soul,13998.0,14000,Black,Silver,2,1.6,4,130,11.00,Variable Timing,Gas,3.03,3.36,4.0,101.2,163.0,70.9,63.5,2884,40.9,39.6,5,24.2,24,30
83,16238638,2015,Kia,Soul,12998.0,55000,Black,Silver,2,1.6,4,130,11:1,Variable Timing DOHC,Gas,2.95,3.36,4.0,101.2,163.0,70.0,63.0,2714,40.9,39.6,5,24.0,24,30
84,16020533,2015,Land,Rover Range Rover HSE,55998.0,44000,Brown,Black,4,3.0,6,340,11:1,Variable Timing DOHC,Supercharged,3.33,3.5,4.0,115.0,196.8,78.0,72.0,4918,38.9,39.3,5,32.0,17,23
85,16495229,2015,Lexus,GX 460,38998.0,29000,Black,Black,4,4.6,8,301,10:1,Variable Timing DOHC,Gas,3.7,3.27,4.0,109.8,192.1,74.0,74.0,5305,41.7,38.0,7,,15,20
86,16238784,2013,Lexus,LS 460,33998.0,53000,Black,Silver,4,4.6,8,0,12:1,Dual Overhead Cam,Gas,3.7,3.27,4.0,116.9,200.0,,58.0,4651,43.7,38.0,5,18.0,16,23
87,16327567,2015,Lexus,RX 350,26998.0,57000,Black,Black,4,3.5,6,270,11:1,Variable Timing DOHC,Gas,3.7,3.27,4.0,107.9,187.8,74.0,66.0,4343,43.1,39.1,5,40.0,18,24
88,16450987,2015,Lexus,RX 350,27998.0,38000,Black,Gray,4,3.5,6,270,11:1,Variable Timing DOHC,Gas,3.7,3.27,4.0,107.9,187.8,74.0,66.0,4343,43.1,39.1,5,40.0,18,24
89,16238832,2017,Lincoln,Continental Reserve,43998.0,4000,Gray,Brown,2,2.7,6,335,10.00,Variable Timing,Turbo Gas,3.27,3.27,4.0,117.9,201.4,75.3,58.5,4224,44.4,39.3,5,16.7,18,27
